# Ensemble Temperature Energy Magnetization
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.98828 0.996094
0 1 -1.98828 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.97656 0.994141
0 1 -1.97656 0.994141
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98047 0.994141
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98828 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -1.98438 0.994141
0 1 -1.98828 0.996094
0 1 -1.98828 0.996094
0 1 -1.98828 0.996094
0 1 -1.96875 0.990234
0 1 -1.97656 0.994141
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.97656 0.994141
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -1.98047 0.994141
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.98438 0.996094
0 1 -2 1
0 1 -1.98438 0.996094
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.98828 0.996094
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -1.99219 0.998047
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
0 1 -2 1
